year,model
2021,ABM
2019,ERGM
2022,Gravity_model
2021,ABM
2016,Statistical_other
2021,Statistical_other
2019,ABM
2014,Statistical_other
2019,Gravity_model
2019,Mathematical
2015,Mathematical
2022,Statistical_other
2018,Statistical_other
2016,Statistical_other
2022,ERGM
2021,Mathematical
2016,ABM
2022,ABM
2021,ABM
2022,ABM
2022,Radiation_model
2017,ERGM
2021,TERGM
2012,Mathematical
2013,Statistical_other
2012,Statistical_other
2011,Statistical_other
2010,Statistical_other
2009,Statistical_other
2012,ABM
2019,Statistical_other
2018,Gravity_model
2012,ERGM
2019,ABM
2018,ERGM
2017,ERGM
2011,ABM
2017,Mathematical
2015,Statistical_other
2022,Statistical_other
2022,Statistical_other
2016,Mathematical
2015,Mathematical
2020,Statistical_other
2017,Random_Forest
2009,Gravity_model
2018,ABM
2019,ABM
2015,Statistical_other
2020,ABM
2019,ABM
2020,Gravity_model
